ID,tripduration,startstationid,startstationname,startstationlatitude,startstationlongitude,endstationid,endstationname,endstationlatitude,endstationlongitude,bikeid,gender
49,424,478,11 Ave & W 41 St,40.76030096,-73.99884222,465,Broadway & W 41 St,40.75513557,-73.98658032,15740,1
50,474,293,Lafayette St & E 8 St,40.73028666,-73.9907647,503,E 20 St & Park Ave,40.73827428,-73.98751968,15777,1
51,269,466,W 25 St & 6 Ave,40.74395411,-73.99144871,474,5 Ave & E 29 St,40.7451677,-73.98683077,20912,2
52,215,404,9 Ave & W 14 St,40.7405826,-74.00550867,247,Perry St & Bleecker St,40.73535398,-74.00483091,20512,1
53,509,449,W 52 St & 9 Ave,40.76461837,-73.98789473,492,W 33 St & 7 Ave,40.75019995,-73.99093085,15082,1
54,420,388,W 26 St & 10 Ave,40.74971775,-74.00295035,434,9 Ave & W 18 St,40.74317449,-74.00366443,19665,2
55,1774,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,16539,1
56,489,300,Shevchenko Pl & E 7 St,40.728145,-73.990214,531,Forsyth St & Broome St,40.71893904,-73.99266288,20556,1
57,830,519,Pershing Square North,40.751873,-73.977706,223,W 13 St & 7 Ave,40.73781509,-73.99994661,18779,1
58,22207,303,Mercer St & Spring St,40.72362738,-73.99949601,294,Washington Square E,40.73049393,-73.9957214,18713,1
59,526,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,168,W 18 St & 6 Ave,40.73971301,-73.99456405,15670,1
60,487,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,428,E 3 St & 1 Ave,40.72467721,-73.98783413,19903,1
61,316,128,MacDougal St & Prince St,40.72710258,-74.00297088,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,16259,1
62,356,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,411,E 6 St & Avenue D,40.72228087,-73.97668709,18288,1
63,698,212,W 16 St & The High Line,40.74334935,-74.00681753,478,11 Ave & W 41 St,40.76030096,-73.99884222,17402,1
64,285,491,E 24 St & Park Ave S,40.74096374,-73.98602213,442,W 27 St & 7 Ave,40.746647,-73.993915,20001,1
65,178,294,Washington Square E,40.73049393,-73.9957214,382,University Pl & E 14 St,40.73492695,-73.99200509,17998,1
66,401,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,16259,1
67,964,402,Broadway & E 22 St,40.7403432,-73.98955109,394,E 9 St & Avenue C,40.72521311,-73.97768752,21511,2
68,741,533,Broadway & W 39 St,40.75299641,-73.98721619,509,9 Ave & W 22 St,40.7454973,-74.00197139,15946,1
69,733,411,E 6 St & Avenue D,40.72228087,-73.97668709,531,Forsyth St & Broome St,40.71893904,-73.99266288,19727,1
70,268,267,Broadway & W 36 St,40.75097711,-73.98765428,490,8 Ave & W 33 St,40.751551,-73.993934,16786,1
71,476,498,Broadway & W 32 St,40.74854862,-73.98808416,168,W 18 St & 6 Ave,40.73971301,-73.99456405,19361,1
72,453,478,11 Ave & W 41 St,40.76030096,-73.99884222,477,W 41 St & 8 Ave,40.75640548,-73.9900262,19016,1
73,162,515,W 43 St & 10 Ave,40.76009437,-73.99461843,529,W 42 St & 8 Ave,40.7575699,-73.99098507,20059,2
74,1013,435,W 21 St & 6 Ave,40.74173969,-73.99415556,488,W 39 St & 9 Ave,40.75645824,-73.99372222,15066,1
75,610,250,Lafayette St & Jersey St,40.72456089,-73.99565293,487,E 20 St & FDR Drive,40.73314259,-73.97573881,17787,1
76,263,499,Broadway & W 60 St,40.76915505,-73.98191841,500,Broadway & W 51 St,40.76228826,-73.98336183,16390,1
77,846,128,MacDougal St & Prince St,40.72710258,-74.00297088,509,9 Ave & W 22 St,40.7454973,-74.00197139,19896,1
78,995,434,9 Ave & W 18 St,40.74317449,-74.00366443,528,2 Ave & E 31 St,40.74290902,-73.97706058,18043,1
79,1799,404,9 Ave & W 14 St,40.7405826,-74.00550867,529,W 42 St & 8 Ave,40.7575699,-73.99098507,20164,1
80,584,478,11 Ave & W 41 St,40.76030096,-73.99884222,490,8 Ave & W 33 St,40.751551,-73.993934,15494,1
81,823,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,433,E 13 St & Avenue A,40.72955361,-73.98057249,15003,2
82,405,527,E 33 St & 2 Ave,40.744023,-73.976056,505,6 Ave & W 33 St,40.74901271,-73.98848395,18749,1
83,576,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,427,Bus Slip & State St,40.701907,-74.013942,18462,1
84,647,499,Broadway & W 60 St,40.76915505,-73.98191841,478,11 Ave & W 41 St,40.76030096,-73.99884222,16897,1
85,316,153,E 40 St & 5 Ave,40.75206231,-73.9816324,518,E 39 St & 2 Ave,40.74780373,-73.9734419,14992,1
86,352,382,University Pl & E 14 St,40.73492695,-73.99200509,335,Washington Pl & Broadway,40.72903917,-73.99404649,14648,1
87,824,251,Mott St & Prince St,40.72317958,-73.99480012,504,1 Ave & E 15 St,40.73221853,-73.98165557,16541,1
88,618,415,Pearl St & Hanover Square,40.7047177,-74.00926027,377,6 Ave & Canal St,40.72243797,-74.00566443,17797,1
89,345,379,W 31 St & 7 Ave,40.749156,-73.9916,491,E 24 St & Park Ave S,40.74096374,-73.98602213,15974,1
90,454,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,15607,1
91,468,307,Canal St & Rutgers St,40.71427487,-73.98990025,386,Centre St & Worth St,40.71494807,-74.00234482,21318,1
92,86,487,E 20 St & FDR Drive,40.73314259,-73.97573881,487,E 20 St & FDR Drive,40.73314259,-73.97573881,20338,1
93,409,487,E 20 St & FDR Drive,40.73314259,-73.97573881,491,E 24 St & Park Ave S,40.74096374,-73.98602213,14700,1
94,584,499,Broadway & W 60 St,40.76915505,-73.98191841,495,W 47 St & 10 Ave,40.76269882,-73.99301222,14947,1
95,327,492,W 33 St & 7 Ave,40.75019995,-73.99093085,444,Broadway & W 24 St,40.7423543,-73.98915076,17048,1
96,220,316,Fulton St & William St,40.70955958,-74.00653609,309,Murray St & West St,40.7149787,-74.013012,21467,1
97,392,385,E 55 St & 2 Ave,40.75797322,-73.96603308,510,W 51 St & 6 Ave,40.7606597,-73.98042047,19265,1
98,337,518,E 39 St & 2 Ave,40.74780373,-73.9734419,546,E 30 St & Park Ave S,40.74444921,-73.98303529,21323,1
99,457,358,Christopher St & Greenwich St,40.73291553,-74.00711384,459,W 20 St & 11 Ave,40.746745,-74.007756,15023,1
100,216,426,West St & Chambers St,40.71754834,-74.01322069,329,Greenwich St & N Moore St,40.72043411,-74.01020609,15716,1
101,1314,2009,Catherine St & Monroe St,40.71117444,-73.99682619,463,9 Ave & W 16 St,40.74206539,-74.00443172,15266,1
102,316,435,W 21 St & 6 Ave,40.74173969,-73.99415556,461,E 20 St & 2 Ave,40.73587678,-73.98205027,19463,1
103,310,290,2 Ave & E 58 St,40.76020258,-73.96478473,2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,17510,1
104,495,477,W 41 St & 8 Ave,40.75640548,-73.9900262,546,E 30 St & Park Ave S,40.74444921,-73.98303529,21115,1
105,375,503,E 20 St & Park Ave,40.73827428,-73.98751968,229,Great Jones St,40.72743423,-73.99379025,19493,1
106,241,164,E 47 St & 2 Ave,40.75323098,-73.97032517,167,E 39 St & 3 Ave,40.7489006,-73.97604882,15486,1
107,510,276,Duane St & Greenwich St,40.71748752,-74.0104554,251,Mott St & Prince St,40.72317958,-73.99480012,21313,1
108,784,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,474,5 Ave & E 29 St,40.7451677,-73.98683077,15607,1
109,214,346,Bank St & Hudson St,40.73652889,-74.00618026,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,18686,1
110,182,334,W 20 St & 7 Ave,40.74238787,-73.99726235,223,W 13 St & 7 Ave,40.73781509,-73.99994661,18069,1
111,168,422,W 59 St & 10 Ave,40.770513,-73.988038,499,Broadway & W 60 St,40.76915505,-73.98191841,20576,1
112,385,462,W 22 St & 10 Ave,40.74691959,-74.00451887,116,W 17 St & 8 Ave,40.74177603,-74.00149746,20333,2
113,432,295,Pike St & E Broadway,40.71406667,-73.99293911,417,Barclay St & Church St,40.71291224,-74.01020234,17275,1
114,519,478,11 Ave & W 41 St,40.76030096,-73.99884222,173,Broadway & W 49 St,40.76064679,-73.98442659,19070,1
115,413,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,521,8 Ave & W 31 St,40.75044999,-73.99481051,21204,1
116,348,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,250,Lafayette St & Jersey St,40.72456089,-73.99565293,18104,1
117,203,477,W 41 St & 8 Ave,40.75640548,-73.9900262,267,Broadway & W 36 St,40.75097711,-73.98765428,14929,1
118,546,295,Pike St & E Broadway,40.71406667,-73.99293911,417,Barclay St & Church St,40.71291224,-74.01020234,19437,2
119,423,521,8 Ave & W 31 St,40.75044999,-73.99481051,459,W 20 St & 11 Ave,40.746745,-74.007756,18133,1
120,271,379,W 31 St & 7 Ave,40.749156,-73.9916,474,5 Ave & E 29 St,40.7451677,-73.98683077,18415,1
121,1497,458,11 Ave & W 27 St,40.751396,-74.005226,312,Allen St & E Houston St,40.722055,-73.989111,16906,1
