,index,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
29,61,1100,9/1/2015 00:11:46,9/1/2015 00:30:06,312,Allen St & E Houston St,40.722055,-73.989111,534,Water - Whitehall Plaza,40.70255065,-74.0127234,18417,Subscriber,1975.0,1
30,62,579,9/1/2015 00:11:49,9/1/2015 00:21:29,521,8 Ave & W 31 St,40.750967348715974,-73.99444207549095,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,14631,Subscriber,1979.0,1
31,63,1308,9/1/2015 00:11:56,9/1/2015 00:33:44,487,E 20 St & FDR Drive,40.73314259,-73.97573881,514,12 Ave & W 40 St,40.76087502,-74.00277668,22020,Subscriber,1964.0,2
32,64,1254,9/1/2015 00:12:36,9/1/2015 00:33:31,482,W 15 St & 7 Ave,40.73935542,-73.99931783,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,23092,Customer,,0
33,68,225,9/1/2015 00:12:52,9/1/2015 00:16:37,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,23001,Subscriber,1989.0,1
34,71,1766,9/1/2015 00:13:04,9/1/2015 00:42:31,325,E 19 St & 3 Ave,40.73624527,-73.98473765,245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,23851,Subscriber,1982.0,1
35,73,978,9/1/2015 00:13:38,9/1/2015 00:29:57,497,E 17 St & Broadway,40.73704984,-73.99009296,479,9 Ave & W 45 St,40.76019252,-73.9912551,19098,Subscriber,1992.0,2
36,75,338,9/1/2015 00:13:46,9/1/2015 00:19:24,454,E 51 St & 1 Ave,40.75455731,-73.96592976,367,E 53 St & Lexington Ave,40.75828065,-73.97069431,18108,Subscriber,1986.0,1
37,76,720,9/1/2015 00:13:49,9/1/2015 00:25:50,483,E 12 St & 3 Ave,40.73223272,-73.98889957,331,Pike St & Monroe St,40.71173107,-73.99193043,19638,Subscriber,1983.0,1
38,77,1374,9/1/2015 00:14:00,9/1/2015 00:36:54,160,E 37 St & Lexington Ave,40.748238,-73.978311,295,Pike St & E Broadway,40.71406667,-73.99293911,23159,Subscriber,1984.0,1
39,78,542,9/1/2015 00:13:59,9/1/2015 00:23:02,477,W 41 St & 8 Ave,40.75640548,-73.9900262,367,E 53 St & Lexington Ave,40.75828065,-73.97069431,18254,Subscriber,1969.0,1
40,79,852,9/1/2015 00:13:59,9/1/2015 00:28:12,447,8 Ave & W 52 St,40.76370739,-73.9851615,173,Broadway & W 49 St,40.76064679,-73.98442659,24086,Customer,,0
41,80,606,9/1/2015 00:14:00,9/1/2015 00:24:06,3117,Franklin St & Dupont St,40.735640000000004,-73.95866,3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,14972,Customer,,0
42,81,470,9/1/2015 00:14:00,9/1/2015 00:21:51,536,1 Ave & E 30 St,40.74144387,-73.97536082,326,E 11 St & 1 Ave,40.72953837,-73.98426726,23987,Subscriber,1986.0,2
43,82,300,9/1/2015 00:14:03,9/1/2015 00:19:04,308,St James Pl & Oliver St,40.71307916,-73.99851193,311,Norfolk St & Broome St,40.7172274,-73.98802084,23237,Subscriber,1987.0,1
44,86,810,9/1/2015 00:14:24,9/1/2015 00:27:54,447,8 Ave & W 52 St,40.76370739,-73.9851615,173,Broadway & W 49 St,40.76064679,-73.98442659,17137,Customer,,0
45,87,306,9/1/2015 00:14:43,9/1/2015 00:19:50,3103,N 11 St & Wythe Ave,40.72153267,-73.95782357,471,Grand St & Havemeyer St,40.71286844,-73.95698119,16263,Subscriber,1985.0,1
46,89,863,9/1/2015 00:14:45,9/1/2015 00:29:09,387,Centre St & Chambers St,40.71273266,-74.0046073,239,Willoughby St & Fleet St,40.69196566,-73.9813018,23814,Subscriber,1988.0,1
47,91,1618,9/1/2015 00:15:02,9/1/2015 00:42:01,387,Centre St & Chambers St,40.71273266,-74.0046073,459,W 20 St & 11 Ave,40.746745000000004,-74.007756,17467,Customer,,0
