Trip_no,VendorID,PU_hour,DO_hour,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Trip_type
39,1,17,17,N,5,-73.93902588,40.68902206,-73.93904877,40.68901825,1,0.1,50,0,0,10,0, ,0,60,2
40,2,17,17,N,1,-73.95137024,40.79122925,-73.93755341,40.81440353,1,2.14,11,1,0.5,0,0, ,0.3,12.8,1
41,2,17,17,N,1,-73.91439056,40.75686264,-73.99071503,40.71535492,1,8.12,34,1,0.5,7.16,0, ,0.3,42.96,1
42,1,17,17,N,5,-73.91812134,40.82632828,-73.86100769,40.81660843,1,5.3,9,0,0,0,0, ,0,9,2
43,2,17,17,N,1,-73.95938873,40.69423676,-73.94935608,40.69602203,1,0.55,5.5,1,0.5,0,0, ,0.3,7.3,1
44,2,17,17,N,1,-73.89069366,40.7467804,-73.87288666,40.77440643,1,3.5,13,1,0.5,2.96,0, ,0.3,17.76,1
45,2,17,17,N,1,-73.93824768,40.68379593,-73.95498657,40.69098663,1,1.49,7.5,1,0.5,0,0, ,0.3,9.3,1
46,2,17,17,N,1,-73.94194794,40.75444412,-73.80423737,40.69781113,1,11.33,38,1,0.5,0,0, ,0.3,39.8,1
47,1,17,17,N,1,-73.94226074,40.72873306,-73.98670197,40.74245071,1,4.1,16,1,0.5,0,0, ,0.3,17.8,1
48,2,17,17,N,1,-73.88942719,40.75519943,-73.90876007,40.75417328,1,0.91,5.5,1,0.5,0,0, ,0.3,7.3,1
49,2,17,17,N,1,-73.92152405,40.86767578,-73.93305206,40.84739685,1,1.8,11,1,0.5,0,0, ,0.3,12.8,1
50,2,17,17,N,1,-73.94625854,40.82110214,-73.95655823,40.80323792,1,1.45,8,1,0.5,1.96,0, ,0.3,11.76,1
51,2,17,17,N,1,-73.94393158,40.81523514,-73.96277618,40.80176163,1,1.67,13,1,0.5,0,0, ,0.3,14.8,1
52,2,17,17,N,1,-73.97648621,40.68256378,-73.92510986,40.67899323,2,3.16,21,1,0.5,0,0, ,0.3,22.8,1
53,1,17,17,N,1,-73.9637146,40.80846405,-73.95067596,40.77583313,1,3.2,15.5,1,0.5,3.45,0, ,0.3,20.75,1
54,2,17,17,N,1,-73.92524719,40.76863861,-73.90740967,40.7717514,1,1.37,9,1,0.5,3.24,0, ,0.3,14.04,1
55,2,17,17,N,1,-73.89181519,40.74705887,-73.92217255,40.74376678,5,1.64,10,1,0.5,0,0, ,0.3,11.8,1
56,2,17,17,N,1,-73.99642181,40.68102264,-73.97711182,40.66468811,1,2.04,10.5,1,0.5,2.46,0, ,0.3,14.76,1
57,2,17,17,N,1,-73.94553375,40.80763245,-73.94755554,40.80279541,1,0.42,3.5,1,0.5,1.06,0, ,0.3,6.36,1
58,2,17,17,N,1,-73.95685577,40.74698257,-73.99859619,40.72402954,1,5.7,30,1,0.5,1,0, ,0.3,32.8,1
59,2,17,17,N,1,-73.98745728,40.68796158,-73.97932434,40.68476486,1,0.48,5,1,0.5,0,0, ,0.3,6.8,1
60,2,17,17,N,1,-73.94062042,40.7930336,-73.95839691,40.77987671,1,1.62,8.5,1,0.5,2.06,0, ,0.3,12.36,1
61,2,17,17,N,1,-73.95243073,40.7899971,-73.936409,40.80733871,1,1.7,10.5,1,0.5,0,0, ,0.3,12.3,1
62,1,17,17,N,1,-73.96661377,40.80393982,-73.88908386,40.83486557,2,9.1,30.5,1,0.5,0,0, ,0.3,32.3,1
63,2,17,17,N,1,-73.94438171,40.78779984,-73.97707367,40.74312592,1,4.02,20.5,1,0.5,1,0, ,0.3,23.3,1
64,1,17,17,N,1,-73.95407867,40.58769989,-73.94376373,40.58415604,1,0.7,5.5,1,0.5,1,0, ,0.3,8.3,1
65,2,17,17,N,1,-73.95281219,40.68062973,-73.92537689,40.66577148,1,2.72,18.5,1,0.5,1,0, ,0.3,21.3,1
66,1,17,17,N,1,-73.91959381,40.76608658,-73.90593719,40.74653244,1,2.2,11.5,1,0.5,0,0, ,0.3,13.3,1
67,2,17,17,N,1,-73.92327881,40.7606163,-73.87233734,40.77448654,1,3.87,13.5,1,0.5,3.06,0, ,0.3,18.36,1
68,2,17,17,N,1,-73.95116425,40.81232071,-73.93859863,40.82247162,1,1.18,7,1,0.5,0,0, ,0.3,8.8,1
69,1,17,17,N,1,-73.94780731,40.82506943,-73.95572662,40.81394196,1,0.9,6,1,0.5,0,0, ,0.3,7.8,1
70,1,17,17,N,1,-73.94551086,40.74616241,-73.94979858,40.74827194,1,1,6.5,1,0.5,0,0, ,0.3,8.3,1
71,2,17,17,N,1,-73.97870636,40.68983459,-73.97992706,40.68987656,1,0,3,1,0.5,0,0, ,0.3,4.8,1
72,2,17,17,N,1,-73.98415375,40.67169571,-73.9769516,40.68347549,5,0.84,7,1,0.5,0,0, ,0.3,8.8,1
73,2,17,17,N,1,-73.92510223,40.86626053,-73.9356308,40.83161545,1,2.67,11,1,0.5,0,0, ,0.3,12.8,1
74,2,17,17,N,1,-73.92721558,40.76281357,-73.92923737,40.76945114,1,0.71,5,1,0.5,1.36,0, ,0.3,8.16,1
75,1,17,17,N,1,-73.95246124,40.81089401,-73.9465332,40.82634354,1,1.3,7.5,1,0.5,2.3,0, ,0.3,11.6,1
76,2,17,17,N,1,-73.93789673,40.8125,-73.93823242,40.80383301,1,0.81,5,1,0.5,1,0, ,0.3,7.8,1
77,2,17,17,N,1,-73.97856903,40.67068863,-73.9853363,40.67840576,1,0.99,6,1,0.5,0,0, ,0.3,7.8,1
78,2,17,17,N,1,-73.99460602,40.68199539,-73.98971558,40.6708107,1,1.1,6,1,0.5,0,0, ,0.3,7.8,1
79,1,17,17,N,1,-73.99085999,40.6924324,-73.96790314,40.69575882,1,1.6,8.5,1,0.5,0,0, ,0.3,10.3,1
80,2,17,17,N,1,-73.99194336,40.69050217,-73.98731995,40.69207764,1,0.49,5.5,1,0.5,0,0, ,0.3,7.3,1
81,2,17,17,N,1,-73.93725586,40.74902344,-73.98240662,40.75714111,2,3.04,13,1,0.5,2.96,0, ,0.3,17.76,1
82,2,17,17,N,1,-73.94634247,40.7070961,-73.87288666,40.77439499,1,7.69,26.5,1,0.5,5.66,0, ,0.3,33.96,1
83,2,17,17,N,2,-73.97797394,40.6849823,-73.97798157,40.68498611,2,0,52,4.5,0.5,0,0, ,0.3,57.3,1
84,2,17,19,N,1,-73.98258209,40.69238281,-73.89472198,40.73999786,2,13.43,84.5,1,0,0,0, ,0,85.5,2
85,1,17,17,N,1,-73.9454422,40.80779266,-73.94259644,40.82681274,1,1.6,10,1,0.5,0,0, ,0.3,11.8,1
86,2,17,17,N,1,-73.95101929,40.72398376,-73.96396637,40.71025848,1,1.58,9,1,0.5,0,0, ,0.3,10.8,1
87,2,17,17,N,1,-73.89026642,40.74625015,-73.86495972,40.77049637,1,4.03,15,1,0.5,3.36,0, ,0.3,20.16,1
88,2,17,17,N,1,-73.95836639,40.81507492,-73.95835876,40.81084061,1,0.39,4,1,0.5,0,0, ,0.3,5.8,1
89,2,17,17,N,1,-73.88374329,40.74585724,-73.89232635,40.75733566,1,2.4,13,1,0.5,0,0, ,0.3,14.8,1
90,1,17,17,N,1,-73.98979187,40.69127655,-73.97780609,40.68505859,1,0.8,7,1,0.5,0.08,0, ,0.3,8.88,1
91,2,17,18,N,1,-73.9493866,40.78509903,-73.94891357,40.80931473,1,3.65,44,1,0.5,0,0, ,0.3,45.8,1
92,1,17,17,N,1,-73.97801971,40.6851387,-73.96279144,40.70999527,1,3.7,17.5,1,0.5,0,0, ,0.3,19.3,1
93,2,17,17,N,1,-74.00411987,40.6545105,-73.96482086,40.71583176,1,7.2,23,1,0.5,4.96,0, ,0.3,29.76,1
94,2,17,17,N,1,-73.95352173,40.6809845,-73.95535278,40.69913483,1,1.34,6.5,1,0.5,0,0, ,0.3,8.3,1
95,2,17,17,N,1,-73.94495392,40.82381058,-73.95865631,40.81615067,1,1.4,7.5,1,0.5,0,0, ,0.3,9.3,1
96,2,17,17,N,1,-73.93589783,40.85177231,-73.9378891,40.85082626,2,0.09,2.5,1,0.5,0,0, ,0.3,4.3,1
97,2,17,17,N,1,-73.93589783,40.85177231,-73.9378891,40.85082626,2,0.09,-2.5,-1,-0.5,0,0, ,-0.3,-4.3,1
98,2,17,17,N,1,-73.93967438,40.80528259,-73.94458008,40.79989624,1,0.45,4,1,0.5,0,0, ,0.3,5.8,1
99,1,17,17,N,1,-73.95766449,40.71587372,-73.95791626,40.71763229,1,0.3,3,1,0.5,0,0, ,0.3,4.8,1
100,2,17,17,N,1,-73.94194794,40.81278992,-73.94674683,40.80074692,1,0.92,6,1,0.5,0,0, ,0.3,7.8,1
101,2,17,17,N,1,-73.80754852,40.70033646,-73.81330872,40.73772049,1,5.23,18,1,0.5,0,0, ,0.3,19.8,1
102,2,17,17,N,1,-73.96492767,40.68395233,-73.78862,40.6414032,1,11.71,45.5,1,0.5,11.82,0, ,0.3,59.12,1
103,2,17,17,N,1,-73.95466614,40.73223495,-73.95688629,40.72097015,1,1,7.5,1,0.5,2.32,0, ,0.3,11.62,1
104,2,17,17,N,1,-73.95604706,40.79979706,-74.00305176,40.72809982,1,7.3,31,1,0.5,0,0, ,0.3,32.8,1
105,2,17,17,N,1,-73.97776031,40.68467331,-73.96044922,40.69111633,2,1.31,7.5,1,0.5,2.32,0, ,0.3,11.62,1
106,2,17,17,N,1,-73.95561981,40.78871155,-73.97370911,40.79416656,1,1.16,7,1,0.5,1.76,0, ,0.3,10.56,1
107,2,17,17,N,1,-73.98738861,40.69125748,-73.96025848,40.69021606,1,1.68,10,1,0.5,0,0, ,0.3,11.8,1
108,2,17,17,N,1,-73.93558502,40.79619217,-73.9413147,40.80162811,1,0.62,6,1,0.5,0,0, ,0.3,7.8,1
109,2,17,17,N,1,-73.98732758,40.69226074,-73.96617889,40.71593094,1,3.13,12,1,0.5,3.45,0, ,0.3,17.25,1
110,2,17,17,N,1,-73.9115448,40.77559662,-73.86206818,40.76859665,1,3.61,13,1,0.5,3.7,0, ,0.3,18.5,1
111,1,17,17,N,1,-73.95269012,40.78890991,-73.95096588,40.77470016,1,1.9,10,1,0.5,2.95,0, ,0.3,14.75,1
112,2,17,17,N,1,-73.9621582,40.81024933,-73.96817017,40.80141449,1,0.67,4.5,1,0.5,0,0, ,0.3,6.3,1
113,2,17,17,N,1,-73.94564819,40.82133865,-73.93286896,40.80142975,1,2.53,15.5,1,0.5,2,0, ,0.3,19.3,1
114,2,17,17,N,1,-73.98770142,40.69040298,-73.93790436,40.66379166,1,3.94,19,1,0.5,0,0, ,0.3,20.8,1
115,2,17,17,N,1,-73.92211151,40.81728363,-73.93849945,40.81317139,1,1.32,8.5,1,0.5,0,0, ,0.3,10.3,1
116,2,17,18,N,1,-73.95346832,40.58721924,-73.91682434,40.76160049,1,21.59,69.5,1,0.5,17.82,0, ,0.3,89.12,1
117,2,17,17,N,1,-73.97705841,40.68370056,-73.96430969,40.7191925,1,3.76,14,1,0.5,0,0, ,0.3,15.8,1
118,2,17,17,N,1,-73.99038696,40.68685913,-73.99245453,40.69429398,1,0.73,5,1,0.5,0,0, ,0.3,6.8,1
119,2,17,17,N,1,-73.95050049,40.68488312,-73.9605484,40.68286133,1,1.03,9.5,1,0.5,0,0, ,0.3,11.3,1
120,2,17,17,N,1,-73.91829681,40.7701683,-73.92511749,40.7735672,2,0.58,4.5,1,0.5,0,0, ,0.3,6.3,1
121,2,17,17,N,5,-73.93675232,40.80410767,-73.88931274,40.84072113,1,6.7,17,0,0,0,0, ,0,17,2
122,2,17,17,N,1,-73.94212341,40.84079361,-73.97454071,40.73534775,1,9.54,38.5,1,0.5,8.06,0, ,0.3,48.36,1
123,2,17,17,N,1,-73.97859955,40.68970871,-73.97792053,40.68511581,1,0.32,4,1,0.5,1.16,0, ,0.3,6.96,1
124,2,17,17,N,1,-73.9045639,40.74560165,-73.88947296,40.75200272,1,1.08,6.5,1,0.5,0,0, ,0.3,8.3,1
125,2,17,17,N,1,-73.93991089,40.84093857,-73.94734955,40.81047821,1,2.53,13.5,1,0.5,0,0, ,0.3,15.3,1
126,2,17,17,N,1,-73.94563293,40.78369904,-74.00206757,40.74694824,1,6.11,28.5,1,0.5,5,0, ,0.3,35.3,1
127,2,17,17,N,1,-73.94703674,40.78821182,-73.99047852,40.76153183,1,5.44,32,1,0.5,0,0, ,0.3,33.8,1
128,2,17,17,N,1,-73.89794922,40.75802612,-73.92324066,40.75510788,2,1.62,9,1,0.5,0,0, ,0.3,10.8,1
129,2,17,17,N,1,-73.97798157,40.68498611,-73.96220398,40.70991516,2,3.2,13,1,0.5,0,0, ,0.3,14.8,1
130,2,17,17,N,1,-73.95069885,40.82639694,-73.97259521,40.79004669,1,2.87,15.5,1,0.5,0,0, ,0.3,17.3,1
131,2,17,17,N,1,-73.88372803,40.74766922,-73.87761688,40.75444412,1,0.68,7.5,1,0.5,0,0, ,0.3,9.3,1
132,2,17,17,N,1,-73.94006348,40.67992783,-73.93245697,40.66444016,1,1.83,13.5,1,0.5,0,0, ,0.3,15.3,1
133,2,17,17,N,1,-73.9154892,40.82479858,-73.91088104,40.81864548,1,0.64,5,1,0.5,0,0, ,0.3,6.8,1
134,2,17,17,N,1,-73.84262848,40.72107315,-73.83662415,40.71567154,1,0.81,6,1,0.5,0,0, ,0.3,7.8,1
135,2,17,17,N,1,-73.95239258,40.78979874,-73.86191559,40.76851654,1,8.12,25.5,1,0.5,9.85,5.54, ,0.3,42.69,1
136,2,17,17,N,1,-73.9876709,40.69094086,-73.9745636,40.68634415,1,0.85,8.5,1,0.5,0,0, ,0.3,10.3,1
137,2,17,17,N,1,-73.99062347,40.69317627,-74.00636292,40.715065,2,2.18,10,1,0.5,0,0, ,0.3,11.8,1
138,2,17,17,N,1,-73.96022797,40.69001389,-73.95812225,40.68173218,1,1.25,9.5,1,0.5,0,0, ,0.3,11.3,1
139,2,17,17,N,1,-73.91163635,40.75876617,-73.93804169,40.75343323,1,3.11,15,1,0.5,0,0, ,0.3,16.8,1
140,2,17,17,N,1,-73.96222687,40.80517197,-73.94798279,40.8014183,5,1.35,7.5,1,0.5,2.79,0, ,0.3,12.09,1
141,2,17,17,N,1,-73.95257568,40.78991318,-73.8728714,40.77440262,1,8.07,26.5,1,0.5,1.69,5.54, ,0.3,35.53,1
142,2,17,17,N,1,-73.94441223,40.82399368,-73.91667938,40.82114792,2,1.75,14,1,0.5,0,0, ,0.3,15.8,1
143,2,17,17,N,1,-73.94586182,40.63638687,-73.96809387,40.68450928,2,4.31,18,1,0.5,0,0, ,0.3,19.8,1
144,2,17,17,N,1,-73.95233917,40.78953934,-73.88867188,40.81557846,1,4.8,25,1,0.5,0,0, ,0.3,26.8,1
145,1,17,17,N,1,-73.94774628,40.78722382,-73.94044495,40.80012131,1,1.1,7,1,0.5,0,0, ,0.3,8.8,1
146,2,17,17,N,1,-73.87394714,40.74892044,-73.8635025,40.73228455,1,1.72,8.5,1,0.5,2.06,0, ,0.3,12.36,1
147,2,17,17,N,1,-73.92060089,40.75695419,-73.9185791,40.76559067,1,0.75,5,1,0.5,0,0, ,0.3,6.8,1
148,2,17,17,N,1,-73.90339661,40.74592209,-73.86164093,40.76826477,1,3.99,13.5,1,0.5,0,0, ,0.3,15.3,1
149,2,17,17,N,5,-73.93908691,40.80037689,-73.95973969,40.80054855,1,1.45,8,0,0,0,0, ,0,8,2
150,2,17,17,N,1,-73.94010162,40.84054184,-73.95864868,40.80968094,3,2.48,12.5,1,0.5,4.29,0, ,0.3,18.59,1
151,1,17,18,N,1,-73.89080048,40.74702835,-73.85542297,40.66664886,3,11.6,50,1,0.5,0,0, ,0.3,51.8,1
152,2,17,17,N,1,-73.94962311,40.82258987,-73.97264862,40.78593445,1,2.92,11.5,1,0.5,1,0, ,0.3,14.3,1
153,1,17,17,N,1,-73.92259979,40.81744766,-73.92041016,40.83063889,4,1.2,9,1,0.5,0,0, ,0.3,10.8,1
154,2,17,17,N,1,-73.98888397,40.69346619,-73.99900055,40.67601395,2,1.91,12,1,0.5,0,0, ,0.3,13.8,1
155,2,17,18,N,1,-73.95669556,40.74810028,-73.78890228,40.64157867,1,14.8,49.5,1,0.5,10.26,0, ,0.3,61.56,1
156,2,17,17,N,1,-73.88033295,40.74140549,-73.8821106,40.73494339,1,0.99,8,1,0.5,1.96,0, ,0.3,11.76,1
157,1,17,17,N,1,-73.95600891,40.81852341,-73.94885254,40.825737,2,0.7,4,1,0.5,0,0, ,0.3,5.8,1
158,2,17,17,N,1,-73.9958725,40.68240738,-73.96508789,40.67781067,6,1.94,16,1,0.5,3.56,0, ,0.3,21.36,1
159,2,17,17,N,1,-73.96213531,40.81038666,-73.86183167,40.76840591,1,8.41,39,1,0.5,9.27,5.54, ,0.3,55.61,1
160,2,17,17,N,2,-73.94267273,40.81159592,-73.78330231,40.64650726,1,17.8,52,4.5,0.5,0,5.54, ,0.3,62.84,1
161,2,17,17,N,5,-73.86755371,40.85243225,-73.89157867,40.82079697,1,4.44,13,0,0,0,0, ,0,13,2
162,2,17,18,N,5,-73.80440521,40.70697021,-73.92445374,40.84008789,0,22.82,60,0,0,0,0, ,0,60,2
163,2,17,17,N,1,-73.9254837,40.7618103,-73.9178009,40.75531006,1,1.09,10,1,0.5,0,0, ,0.3,11.8,1
164,2,17,17,N,1,-73.96660614,40.80467224,-73.94448853,40.79468918,6,1.59,11,1,0.5,1.5,0, ,0.3,14.3,1
165,2,17,17,N,1,-73.95284271,40.78691864,-73.93974304,40.71467209,1,6.7,31.5,1,0.5,3,0, ,0.3,36.3,1
166,2,17,17,N,1,-73.88461304,40.75589371,-73.87282562,40.77441788,2,2.13,10,1,0.5,2.36,0, ,0.3,14.16,1
167,2,17,17,N,1,-73.94794464,40.82532883,-73.92563629,40.8102417,1,1.78,13,1,0.5,0,0, ,0.3,14.8,1
168,2,17,17,N,1,-73.99221039,40.69504547,-73.98955536,40.73678589,1,5.83,22,1,0.5,7.14,0, ,0.3,30.94,1
169,2,17,17,N,1,-73.9489975,40.80283737,-73.93754578,40.80195236,1,0.78,7.5,1,0.5,0,0, ,0.3,9.3,1
170,1,17,17,N,1,-73.95763397,40.811306,-73.92118073,40.86746216,3,5.5,19,0,0.5,3,0, ,0.3,22.8,1
171,1,17,17,N,1,-73.95360565,40.7878952,-73.96748352,40.76314545,1,2.2,11,1,0.5,0,0, ,0.3,12.8,1
172,2,17,17,N,1,-73.87462616,40.73506546,-73.87701416,40.73766708,5,0.25,4.5,1,0.5,3,0, ,0.3,9.3,1
173,1,17,17,N,1,-73.98409271,40.66814804,-73.98320007,40.64485931,1,2.3,10.5,1,0.5,2.45,0, ,0.3,14.75,1
174,1,17,17,N,1,-73.87103271,40.73400879,-73.91687012,40.76152039,1,4.3,21,1,0.5,4.55,0, ,0.3,27.35,1
175,2,17,17,N,1,-73.90354919,40.7456398,-73.90458679,40.73994064,5,1.14,6.5,1,0.5,0,0, ,0.3,8.3,1
176,2,17,17,N,1,-73.9805603,40.66821289,-74.01292419,40.64261627,1,2.94,12.5,1,0.5,0,0, ,0.3,14.3,1
177,2,17,17,N,1,-73.94842529,40.7951355,-73.94071198,40.79827881,1,0.65,5.5,1,0.5,0,0, ,0.3,7.3,1
178,2,17,17,N,1,-73.86780548,40.85381699,-73.86103058,40.83748627,1,1.34,7.5,1,0.5,0,0, ,0.3,9.3,1
179,2,17,17,N,1,-73.89598846,40.74623108,-73.87460327,40.75864029,1,2.01,9.5,1,0.5,0,0, ,0.3,11.3,1
180,2,17,17,N,1,-73.94326782,40.83658218,-73.95394135,40.82187271,1,1.14,7.5,1,0.5,0,0, ,0.3,9.3,1
181,2,17,17,N,5,-73.95983124,40.6636467,-73.95980072,40.66360474,1,0,50,0,0,5,0, ,0,55,2
182,1,17,17,N,1,-73.92398071,40.76807785,-73.91470337,40.78208542,1,1.3,7,1,0.5,0,0, ,0.3,8.8,1
183,2,17,17,N,1,-73.95317841,40.79161072,-73.95646667,40.78320694,1,0.73,5,1,0.5,1.7,0, ,0.3,8.5,1
184,2,17,17,N,1,-73.95540619,40.78872681,-73.97763824,40.75611115,1,2.48,15,1,0.5,1.2,0, ,0.3,18,1
185,2,17,17,N,1,-73.92175293,40.76684952,-73.93110657,40.773983,1,1.3,7,1,0.5,0,0, ,0.3,8.8,1
186,2,17,17,N,1,-73.91213226,40.77552032,-73.91343689,40.78152084,1,0.75,4.5,1,0.5,1.26,0, ,0.3,7.56,1
187,2,17,17,N,1,-73.95217896,40.78980637,-73.94456482,40.79146576,1,0.61,4.5,1,0.5,0,0, ,0.3,6.3,1
188,2,17,17,N,1,-73.95253754,40.82348251,-73.94768524,40.83015823,1,0.57,4,1,0.5,0,0, ,0.3,5.8,1
189,2,17,17,N,1,-73.99125671,40.68547821,-73.90369415,40.66846085,1,5.61,26,1,0.5,0,0, ,0.3,27.8,1
190,2,17,17,N,1,-73.83043671,40.75941849,-73.83320618,40.75524139,1,0.85,5.5,1,0.5,0,0, ,0.3,7.3,1
191,2,17,17,N,1,-73.9927063,40.6833992,-73.9733963,40.6753006,1,1.66,8.5,1,0.5,2.06,0, ,0.3,12.36,1
192,2,17,17,N,1,-73.99172211,40.69044113,-73.98838043,40.6834259,6,0.7,5,1,0.5,0,0, ,0.3,6.8,1
193,2,17,17,N,1,-73.91820526,40.77023697,-73.93149567,40.76516342,1,1.15,6.5,1,0.5,0,0, ,0.3,8.3,1
194,1,17,17,N,1,-73.92933655,40.75679779,-73.94991302,40.74404144,1,1.4,9.5,1,0.5,0,0, ,0.3,11.3,1
195,2,17,17,N,1,-73.90354156,40.74567413,-73.89995575,40.73574829,1,1.21,8,1,0.5,0,0, ,0.3,9.8,1
